index,element,allegro-mp-l,chgnet,dpa-3.1-3m-ft,dpa-3.1-mptrj,eqnorm-mptrj,hienet,mace-mp,mace-mp-0,mace-mpa-0,mattersim-v1,nequip-mp-l,nequip-oam-l,nequix-mp-pft,orb-v2,orb-v2-mptrj,orb-v3,pet-oam-xl,sevennet-l3i5,sevennet-omni,tace-v1-oam-m
52,Te,-0.7239,-0.9231,-0.7921,-0.6234,-0.7195,-0.7197,-1.0444,-0.9899,-0.6574,-2.3039,-0.7239,-0.7239,-0.5929,-0.7138,-0.6752,-2.3677,-3.5406,-0.7123,-0.7047,-0.7239
53,I,-0.1703,-0.8433,-0.4101,-0.1521,-0.4382,-0.6251,-1.0367,-1.4079,-0.1896,-1.8928,-0.1703,-0.1703,-0.2416,-0.3184,-0.4899,-2.5962,-1.8897,-0.6826,-0.4892,-0.1703
54,Xe,-0.0097,1.0463,0.0532,0.2275,0.0908,-0.0316,-0.0164,-0.0313,-0.0086,-0.0679,-0.0097,-0.0097,0.3055,-0.0105,0.0014,0.0446,3.241,-0.0345,0.0027,-0.0097
55,Cs,-0.1369,-0.8161,-1.4394,-0.6834,-0.8265,-0.8403,-0.8284,-0.8876,-0.1377,-0.8417,-0.1369,-0.1369,-0.8597,-0.6724,-0.7468,-0.9591,-0.9388,-0.8447,-0.9538,-0.1369
56,Ba,-0.0344,-0.0761,-0.7147,0.2537,-0.333,-1.1713,-0.1931,-1.9123,-0.0346,-1.4476,-0.0344,-0.0344,-0.231,-0.524,-0.1854,-1.0008,-1.9995,-1.1724,-0.549,-0.0344
57,La,-0.8455,-0.6326,-0.6954,-0.6137,-1.113,-1.0697,-0.9073,-2.5448,-0.4558,-2.9407,-0.8455,-0.8455,-0.9974,-1.0865,-1.0625,-1.8957,-4.9844,-1.493,-0.8925,-0.8455
58,Ce,-1.3876,-2.3725,-1.479,-2.0722,-2.4548,-2.5985,-2.8649,-4.0474,-1.3309,-3.4575,-1.3876,-1.3876,-2.0226,-1.8133,-2.3247,-2.8005,-6.4952,-2.4603,-1.1621,-1.3876
59,Pr,-0.5491,-0.8739,-0.7393,-0.8431,-1.0988,-1.5934,-1.1588,-2.9756,-0.2967,-2.3252,-0.5491,-0.5491,-1.0271,-0.6286,-0.8823,-1.4893,-4.8721,-1.2745,-0.8548,-0.5491
60,Nd,-0.5186,-0.4381,-0.6414,-0.7707,-1.0176,-0.8337,-1.0259,-2.3592,-0.3039,-2.3321,-0.5186,-0.5186,-0.9018,-0.5811,-0.8299,-1.3794,-4.8386,-1.1943,-0.7047,-0.5186
61,Pm,-0.4895,-0.9759,-0.4624,-0.9901,-1.0527,-1.5681,-1.8192,-2.6263,-0.309,-2.1204,-0.4895,-0.4895,-1.3903,-0.5256,-0.7857,-1.2637,-4.902,-1.2168,-0.5973,-0.4895
62,Sm,-0.4683,-0.3215,-0.5351,-0.7412,-0.9982,-0.7989,-0.8996,-2.4124,-0.2547,-2.0777,-0.4683,-0.4683,-0.9095,-0.5117,-0.7445,-1.1691,-4.7698,-1.12,-0.6257,-0.4683
63,Eu,-8.3662,-8.5165,-8.5824,-8.3434,-8.6591,-8.4508,-9.1451,-9.8947,-8.38,-9.2732,-8.3662,-8.3662,-8.2229,-8.5444,-8.3919,-8.7953,-10.3879,-8.8888,-8.5327,-8.3662
64,Gd,-10.4088,-11.1356,-10.3122,-10.7198,-10.4796,-10.5509,-11.6242,-12.5864,-10.389,-11.3298,-10.4088,-10.4088,-10.4796,-10.6061,-10.5158,-10.9839,-13.8535,-10.8815,-10.1051,-10.4088
65,Tb,-0.3982,-0.3955,-0.4119,-0.7668,-0.9956,-0.5468,-0.6893,-2.2679,-0.306,-1.7819,-0.3982,-0.3982,-0.7449,-0.4368,-0.6255,-0.9233,-4.7615,-1.0296,-0.3881,-0.3982
66,Dy,-0.3886,-0.3232,-0.4083,-0.8631,-0.9661,-0.6341,-0.7299,-2.3438,-0.3068,-1.6796,-0.3886,-0.3886,-0.773,-0.4415,-0.6078,-0.8671,-4.4957,-1.0191,-0.5149,-0.3886
67,Ho,-0.3834,-0.5118,-0.3655,-0.9703,-1.0192,-1.2304,-0.7835,-2.1106,-0.3087,-1.6847,-0.3834,-0.3834,-0.8855,-0.4767,-0.6077,-0.8366,-4.4648,-1.0643,-0.6158,-0.3834
68,Er,-0.3857,-0.1644,-0.2299,-0.6991,-1.0343,-0.6938,-0.6254,-2.3367,-0.3161,-1.5568,-0.3857,-0.3857,-0.8398,-0.4991,-0.5976,-0.8058,-4.455,-1.0177,-0.4301,-0.3857
69,Tm,-0.3168,-0.26,-0.3792,-0.8975,-0.9129,-0.7115,-0.6922,-2.235,-0.2519,-1.4532,-0.3168,-0.3168,-0.7087,-0.4781,-0.5407,-0.7864,-4.4721,-0.9357,-0.6161,-0.3168
70,Yb,-0.064,-0.015,0.1769,0.1653,-0.2247,-0.8568,-0.0279,-1.0191,-0.0643,-0.5734,-0.064,-0.064,0.0992,-0.1127,-0.1878,-0.7133,-4.8903,-0.7067,-0.2567,-0.064
71,Lu,-0.3808,-0.3433,-0.4412,-0.9533,-0.9983,-0.6819,-0.9336,-2.2901,-0.32,-1.5164,-0.3808,-0.3808,-0.8042,-0.5761,-0.5994,-0.7957,-4.4459,-1.0277,-0.767,-0.3808
72,Hf,-3.527,-3.5285,-3.2571,-4.0977,-3.7329,-3.6921,-3.4744,-4.699,-3.5277,-4.4883,-3.527,-3.527,-3.9247,-3.5804,-4.1614,-3.6552,-9.2692,-3.7872,-3.3445,-3.527
73,Ta,-3.7421,-3.6225,-3.479,-4.5991,-4.1883,-4.8164,-3.6082,-5.0139,-3.5449,-4.884,-3.7421,-3.7421,-4.877,-3.9772,-4.611,-3.9978,-10.6563,-4.296,-3.4944,-3.7421
74,W,-4.6555,-5.5532,-4.2917,-4.7519,-5.0872,-3.8968,-5.0718,-5.3892,-4.6566,-5.6753,-4.6555,-4.6555,-5.1048,-4.7126,-5.3026,-4.4591,-10.4845,-4.657,-3.7683,-4.6555
75,Re,-3.4276,-4.3621,-4.1227,-4.4105,-4.7879,-4.3276,-4.2525,-5.621,-4.7011,-5.2283,-3.4276,-3.4276,-4.4331,-4.3082,-4.525,-4.4831,-10.1185,-4.2459,-4.5122,-3.4276
